index,ninety_percentile,geoid
1145,52.77,21001
1146,50.08,21077
1147,59.2,21097
1148,46.9,23023
1149,47.88,30097
1150,62.57,48181
1151,53.4,02188
1152,53.68,20051
1153,47.28,01065
1154,49.5,01105
1155,47.98,01033
1156,44.52,20151
1157,59.98,21017
1158,54.72,47149
1159,54.7,13075
1160,48.47,20101
1161,40.28,40059
1162,62.92,17147
1163,48.55,48107
1164,52.29,72053
1165,47.86,01063
1166,57.11,16033
1167,60.05,19109
1168,52.3,72151
1169,42.0,31103
1170,57.41,19187
1171,52.22,17151
1172,50.71,47159
1173,53.99,51089
1174,56.11,19101
1175,23.06,40003
1176,41.89,48119
1177,55.26,47169
1178,69.15,46039
1179,52.33,72067
1180,57.2,48507
1181,43.12,31007
1182,60.7,19121
1183,50.55,13279
1184,60.83,26151
1185,62.27,27105
1186,52.13,27001
1187,70.69,38071
1188,54.83,28151
1189,52.77,48133
1190,55.37,28055
1191,33.83,48123
1192,44.16,48005
1193,56.52,45081
1194,43.74,29125
1195,55.43,29109
1196,55.0,51540
1197,35.66,17011
1198,54.72,37115
1199,30.43,16053
1200,41.01,39163
1201,50.34,16037
1202,53.9,19089
1203,49.02,13181
1204,54.6,01013
1205,48.19,51097
1206,50.58,05015
1207,53.67,51820
1208,38.0,02220
1209,54.59,47061
1210,59.71,27057
1211,59.79,38081
1212,37.07,29179
1213,59.05,39125
1214,59.06,18179
1215,40.29,51063
1216,60.56,54005
1217,54.83,28009
1218,51.0,21055
1219,55.18,19159
1220,56.49,37151
1221,57.68,18171
1222,54.71,31077
1223,62.57,31095
1224,55.85,31151
1225,52.86,21119
1226,61.26,27063
1227,63.01,27039
1228,40.15,27047
1229,47.58,51119
1230,56.06,42065
1231,54.09,47003
1232,49.49,47027
1233,50.45,17029
1234,54.81,47097
1235,54.6,36097
1236,68.96,26159
1237,63.75,17131
1238,55.69,21127
1239,58.11,21177
1240,60.38,46025
1241,50.21,12041
1242,65.81,42109
1243,32.93,48277
1244,31.9,31057
1245,7.09,48289
1246,75.94,38035
1247,41.85,51595
1248,63.88,40081
1249,34.61,20071
1250,56.05,13145
1251,58.88,13251
1252,52.3,72127
1253,69.97,48433
1254,46.98,39069
1255,57.48,29145
1256,54.93,48311
1257,47.0,17035
1258,58.84,13297
1259,62.99,27121
1260,50.16,51157
1261,50.85,51009
1262,47.24,17033
1263,91.28,08093
1264,57.58,13129
1265,60.24,19025
1266,49.72,51580
1267,49.59,50017
1268,60.7,20113
1269,57.48,39051
1270,39.57,08003
1271,52.29,72049
1272,52.31,72051
1273,69.74,42031
1274,64.67,46097
1275,48.48,46073
1276,52.95,18031
1277,50.41,51057
1278,51.81,45089
1279,32.18,19195
1280,63.62,40063
1281,50.6,51027
1282,49.51,51005
1283,46.94,28087
1284,66.69,18143
1285,63.32,48435
1286,52.33,72121
1287,58.0,40101
1288,54.01,29043
1289,52.32,72039
1290,52.98,28073
1291,57.36,18137
1292,54.96,13147
1293,46.42,22049
1294,53.19,51133
1295,62.26,48157
1296,70.51,55047
1297,44.79,30073
1298,59.54,32021
1299,50.22,17057
1300,65.85,18161
1301,65.27,29119
1302,54.43,35047
1303,59.73,01081
1304,44.3,38021
1305,74.4,38003
1306,66.74,27143
1307,51.26,13293
1308,51.97,26033
1309,61.13,13013
1310,48.01,13183
1311,57.02,48271
1312,52.32,72133
1313,55.1,17135
1314,48.38,28003
1315,46.1,28071
1316,38.23,22043
1317,53.8,29005
1318,59.75,26149
1319,62.16,17055
1320,47.27,30033
1321,54.0,31001
1322,52.3,72139
1323,62.08,46087
1324,47.65,01057
1325,54.11,01017
1326,71.69,08081
1327,54.16,21087
1328,65.44,18047
1329,52.32,72073
1330,51.92,26071
1331,63.22,27067
1332,49.21,21237
1333,47.87,48149
1334,50.55,46081
1335,64.23,48045
1336,43.77,26131
1337,46.4,28015
1338,61.86,27133
1339,49.91,22061
1340,58.47,42099
1341,48.27,46137
1342,49.44,26013
1343,59.56,40131
1344,52.35,72097
1345,59.86,40015
1346,76.27,48383
1347,57.11,05141
1348,90.03,08117
1349,66.09,20035
1350,48.64,05071
1351,51.79,51045
1352,59.87,48083
1353,44.25,02290
1354,52.79,28085
1355,119.32,48357
1356,51.16,48103
1357,53.05,47081
1358,61.13,28143
1359,54.19,29081
1360,52.3,72029
1361,59.44,13223
1362,55.25,39015
1363,56.67,39091
1364,52.31,72123
1365,61.7,13079
1366,52.3,72103
1367,50.91,48477
1368,52.53,29067
1369,67.37,38009
1370,61.93,56017
1371,51.7,26001
1372,48.52,05129
1373,48.8,48305
1374,46.97,36077
1375,54.24,37153
1376,58.45,37093
1377,38.06,31131
1378,49.37,42023
1379,51.13,45035
1380,61.04,27161
1381,36.11,46015
1382,49.23,47177
